count_floors_pre_eq,age,height,land_surface_condition,foundation_type,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,damage_grade
2,20,5,808e,337f,1,1,0,0,0,0,0,0,0,0,0,3
4,5,11,d502,467b,0,0,0,0,0,0,0,0,0,1,0,1
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
4,25,10,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
3,50,7,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,10,3,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,2
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,5,2f15,337f,0,1,0,1,0,1,0,0,0,0,0,1
2,10,3,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,60,9,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
4,40,7,d502,337f,0,0,0,0,1,0,0,0,0,0,0,3
3,25,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,0,3,808e,858b,0,1,0,0,0,0,1,1,0,0,0,2
2,5,3,d502,337f,0,1,1,0,0,0,1,0,0,0,0,2
2,30,5,d502,337f,1,1,0,0,1,0,1,1,0,0,1,2
2,10,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,0,3,d502,6c3e,0,0,0,0,0,1,0,0,1,0,0,2
2,0,5,d502,467b,0,0,0,0,0,1,0,0,0,1,0,1
2,5,6,d502,858b,0,1,0,0,0,0,1,1,0,0,0,1
2,25,4,d502,337f,1,1,1,0,0,0,1,1,0,0,1,2
2,25,3,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,100,7,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,15,4,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,20,3,d502,337f,0,1,0,0,0,0,1,1,0,0,0,3
2,25,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,80,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,30,8,d502,337f,1,0,0,0,0,0,0,0,0,0,0,3
2,10,4,d502,337f,1,0,0,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,0,0,0,0,0,0,0,1,0,0,2
3,30,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
1,5,2,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,2
2,15,3,d502,337f,0,1,0,0,0,0,1,0,0,0,0,1
1,0,2,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,2
1,0,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,35,5,808e,337f,0,1,0,0,0,0,0,0,1,0,0,2
2,10,4,d502,337f,1,0,0,0,0,0,0,0,0,0,0,3
2,35,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,15,10,d502,467b,0,0,0,0,0,1,0,0,0,0,0,2
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,30,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
4,80,7,d502,337f,1,0,0,0,1,0,1,0,0,0,0,3
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,70,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,20,2,d502,337f,0,0,0,0,0,1,0,0,0,0,0,1
2,0,6,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,20,5,808e,337f,0,1,0,0,0,0,1,1,0,0,0,3
2,50,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,5,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,10,6,808e,337f,0,1,1,0,0,0,0,0,0,0,1,3
2,10,3,d502,858b,0,0,0,0,0,0,1,0,0,0,0,2
2,100,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,50,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,30,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,5,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,7,d502,337f,0,1,0,0,0,0,0,0,1,0,0,3
2,50,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,15,1,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,35,3,808e,337f,0,1,0,0,0,0,0,0,0,0,0,1
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,0,5,d502,337f,0,1,0,0,0,0,1,1,0,0,0,2
5,75,12,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,2
2,20,5,d502,337f,1,0,0,0,0,0,0,0,0,0,0,2
3,0,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,4,d502,6c3e,0,0,0,1,0,0,0,0,0,0,0,1
3,40,7,d502,337f,1,0,0,0,0,0,1,0,0,0,0,3
2,10,3,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,10,5,d502,858b,0,1,0,0,0,0,1,0,0,0,0,2
2,5,5,d502,337f,1,1,0,0,0,0,0,0,0,0,0,2
2,60,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,30,7,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,0,3,808e,858b,0,0,0,0,0,0,1,0,0,0,0,2
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,10,6,d502,337f,1,0,0,0,0,0,1,1,0,0,0,3
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,4,d502,858b,0,0,0,0,1,0,1,0,0,0,0,2
2,15,6,d502,858b,0,0,0,0,0,0,1,1,0,0,0,2
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,7,d502,858b,0,0,0,0,0,1,0,0,0,0,0,1
2,25,3,2f15,858b,0,0,0,0,0,0,1,1,0,0,0,1
2,30,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,8,d502,6c3e,0,0,0,0,0,0,0,0,1,0,0,2
1,50,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,0,6,d502,337f,0,0,0,1,0,0,0,0,0,0,0,1
2,35,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,5,7,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,5,d502,337f,0,1,0,0,0,0,0,0,1,0,0,2
2,25,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,35,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,35,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,5,3,d502,467b,0,0,0,0,0,1,0,0,0,1,0,1
3,30,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,25,4,d502,337f,0,1,0,0,0,0,1,1,0,0,0,2
3,55,7,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,20,7,d502,337f,1,1,1,0,0,0,0,0,0,0,0,3
2,35,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,60,4,d502,337f,0,1,0,0,0,0,1,1,0,0,0,3
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,0,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,60,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,20,5,d502,337f,1,1,0,0,0,0,1,0,0,0,0,3
2,0,4,d502,337f,0,0,0,0,1,0,0,0,0,0,0,2
2,25,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
5,50,9,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,5,6,d502,337f,0,1,0,0,0,0,1,1,1,0,0,3
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,25,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,50,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,5,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,25,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,3,808e,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,35,4,808e,337f,1,1,0,0,0,0,0,0,0,0,0,2
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,45,4,2f15,337f,1,1,0,0,0,0,0,0,0,0,0,1
1,20,3,808e,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,4,d502,337f,1,0,0,0,0,0,0,0,0,0,0,3
1,0,2,d502,bb5f,0,0,1,0,0,0,0,0,0,0,1,3
1,0,2,d502,858b,0,1,0,0,0,0,0,1,0,0,0,2
3,50,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,3,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,995,6,d502,337f,0,0,0,0,1,0,0,0,0,0,0,2
1,5,2,d502,337f,0,0,0,0,0,1,0,0,0,0,0,1
2,15,4,808e,337f,1,1,0,0,0,0,1,0,0,0,0,3
2,5,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,1,0,0,0,0,0,0,2
1,25,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,0,2,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,25,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,5,d502,467b,0,0,0,1,0,0,0,0,1,0,0,2
2,15,5,808e,858b,0,1,0,0,0,0,1,1,0,0,0,2
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,5,2,d502,337f,0,0,0,0,0,1,0,0,0,0,0,1
2,50,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,20,2,d502,337f,0,1,0,0,1,0,1,0,0,0,0,3
1,35,2,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
7,0,24,d502,467b,0,0,0,0,0,0,0,0,0,1,0,1
2,20,5,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,30,6,808e,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,5,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,60,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,0,7,808e,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,25,5,d502,858b,0,0,0,0,0,0,1,1,0,0,0,2
1,50,3,d502,337f,1,1,1,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,10,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,25,5,d502,337f,0,0,0,0,1,0,0,0,0,0,0,2
3,30,7,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,1
2,20,5,d502,337f,0,1,0,0,1,0,0,0,0,0,0,2
2,5,6,d502,858b,0,0,0,0,0,0,1,1,0,0,0,1
4,15,11,d502,467b,0,0,0,0,0,0,0,0,1,0,0,1
2,15,5,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,5,5,d502,858b,0,0,0,0,0,1,1,1,0,0,0,2
2,5,5,808e,337f,0,1,0,0,0,0,1,1,0,0,1,2
2,10,6,2f15,337f,0,1,0,0,0,0,1,0,0,0,0,1
2,0,6,d502,467b,0,0,0,0,0,0,0,0,1,1,0,2
2,5,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,25,6,d502,337f,0,1,0,0,0,0,1,1,0,0,0,2
1,0,3,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,1
4,40,7,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,35,5,d502,337f,0,0,1,0,0,0,0,0,0,0,0,2
2,30,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,20,7,808e,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,3,d502,337f,0,1,0,0,0,1,0,0,0,0,0,2
1,5,2,d502,858b,0,0,0,0,0,0,1,0,0,0,0,1
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,55,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,40,3,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,3,d502,337f,0,1,0,0,0,0,1,1,0,0,0,2
2,10,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,10,6,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,1
2,10,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,25,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,5,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,50,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,15,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,0,7,808e,bb5f,0,0,0,0,0,1,1,0,0,0,0,2
1,20,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,35,2,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,20,8,d502,337f,0,1,0,0,0,0,0,0,0,0,0,1
2,15,5,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,40,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,15,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,1
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,30,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,0,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,60,3,d502,337f,0,1,0,0,0,0,0,0,1,0,0,2
1,0,2,d502,858b,0,0,0,0,0,0,1,1,0,0,0,2
3,10,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,6,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,35,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,10,8,d502,467b,0,0,0,0,0,0,0,0,0,1,0,2
2,45,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,1
2,35,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,10,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,0,7,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,10,5,d502,337f,0,1,0,0,0,0,1,1,0,0,0,2
3,15,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
4,85,7,d502,337f,1,0,0,0,1,0,1,0,0,0,0,2
2,60,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,5,3,d502,467b,0,0,0,0,0,0,0,0,0,1,0,1
3,60,8,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,40,6,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,35,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,6,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,1
2,10,3,808e,858b,0,0,0,0,0,0,1,1,0,0,1,1
2,0,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,0,4,d502,337f,0,1,0,0,0,0,1,1,0,0,0,3
1,15,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,10,3,d502,858b,0,0,0,0,0,0,1,0,0,0,0,3
2,5,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
5,85,9,d502,337f,1,1,1,0,0,0,0,0,1,0,0,2
3,15,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,6,d502,467b,0,0,0,0,0,0,0,0,1,0,0,2
2,45,6,d502,337f,1,1,0,0,0,0,0,0,0,0,0,3
3,15,6,d502,337f,1,0,0,0,0,0,0,0,0,0,0,2
2,0,2,d502,337f,0,1,1,0,0,0,1,0,0,0,0,3
3,35,7,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,25,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,4,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,5,3,d502,337f,0,0,0,0,0,1,0,0,0,0,0,1
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,0,3,808e,337f,0,0,0,0,0,1,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,5,1,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,80,3,d502,337f,0,1,1,0,0,0,1,0,0,0,0,3
3,25,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,30,2,d502,337f,1,0,0,0,0,0,0,0,0,0,0,3
3,45,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,10,7,d502,467b,0,0,0,0,0,0,0,0,0,1,0,1
1,25,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,2,2f15,337f,0,1,0,0,0,0,1,1,0,0,0,2
3,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
4,30,8,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,75,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,0,2,808e,337f,0,1,0,0,0,0,1,0,0,0,0,2
1,10,2,d502,858b,0,0,1,0,0,0,1,0,0,0,0,2
2,15,4,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,995,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,90,7,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,6,d502,337f,1,1,1,0,0,0,0,0,0,0,0,2
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,40,3,d502,337f,0,1,0,0,0,0,1,1,0,0,0,2
2,30,5,d502,337f,0,1,1,0,0,0,1,0,0,0,0,3
3,30,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,10,3,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,1
3,5,5,d502,337f,0,1,0,0,1,0,0,0,0,0,0,2
1,5,3,d502,6c3e,0,0,0,0,0,1,0,0,1,0,0,2
2,10,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,8,d502,337f,0,1,0,1,0,0,0,0,0,0,0,2
2,25,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,25,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,6,d502,337f,0,1,1,0,0,0,1,0,0,0,0,3
2,10,5,2f15,337f,0,1,0,0,0,0,1,1,1,0,0,2
1,0,3,d502,858b,0,0,0,0,0,1,1,0,0,0,0,2
2,25,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,25,9,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,30,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,15,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,0,5,d502,337f,0,1,0,0,0,0,0,0,1,0,0,2
2,80,5,d502,337f,0,0,1,0,0,0,0,0,0,0,0,3
1,5,2,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,4,808e,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,35,6,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,5,9,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,40,3,d502,6c3e,0,1,0,0,0,0,0,0,0,0,0,2
2,10,3,d502,337f,0,1,1,0,0,0,1,0,0,0,0,3
2,5,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,45,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,4,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,80,5,808e,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,20,7,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,10,3,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,30,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,4,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,5,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,35,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,65,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,5,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,10,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,25,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
