count_floors_pre_eq,age,height,L1,L2,F1,F2,F3,F4,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other
4,25,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,50,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,10,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2,10,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,60,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4,40,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,25,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
2,5,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2,30,5,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
2,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,5,6,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
2,25,4,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
2,25,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,100,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,20,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2,25,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,80,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,30,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,10,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,30,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,15,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,35,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,10,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,35,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,15,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,80,7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,70,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,20,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,20,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2,50,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,10,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,10,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,100,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,50,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,50,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,35,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
5,75,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,20,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,40,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,10,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,10,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2,5,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,60,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,10,6,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,4,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2,15,6,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,25,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2,30,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,50,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,35,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,5,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,25,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,35,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,35,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,30,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,25,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3,55,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,20,7,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2,35,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,60,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,60,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,20,5,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,25,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,50,9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,5,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,50,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,35,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,45,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,20,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3,50,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,200,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,15,4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,25,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,15,5,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,50,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,20,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1,35,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,20,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,5,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,60,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,5,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,50,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,10,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,30,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2,5,6,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
4,15,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,15,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,5,5,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
2,5,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
2,10,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2,5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,40,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,35,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,30,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,20,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,5,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,55,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,40,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,10,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,25,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,50,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,15,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1,20,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,20,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,40,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,15,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,30,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,60,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
3,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,35,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,10,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,45,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,35,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,10,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3,15,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,85,7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,60,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,60,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,40,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,35,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,10,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1,15,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,10,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,5,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,85,9,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
3,15,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,45,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,15,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
3,35,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,25,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,80,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
3,25,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,30,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,45,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,10,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,25,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,30,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,75,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,10,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2,15,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,200,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,90,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10,6,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,40,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2,30,5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
3,30,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,10,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,5,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,15,8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,25,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
