count_floors_pre_eq,age,area_percentage,height_percentage,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,count_families,damage_grade
2,25,6,5,1,1,0,0,1,0,1,0,0,0,0,1,3
3,20,7,6,0,1,0,0,0,0,0,0,0,0,0,1,2
3,10,13,9,0,1,0,0,0,0,0,0,0,0,0,2,2
2,5,5,5,0,1,0,0,0,0,1,0,0,0,1,1,2
2,20,15,7,0,1,0,0,0,0,0,0,0,0,0,1,2
1,0,16,2,0,1,0,0,0,0,1,0,0,0,0,1,3
1,10,14,3,0,0,0,0,0,1,0,0,0,0,0,1,2
2,15,10,4,0,0,0,0,0,1,0,0,0,0,0,1,2
4,60,9,8,0,0,0,0,1,0,0,0,0,0,0,1,2
1,5,9,3,0,0,0,0,0,1,1,0,0,0,0,1,2
3,45,10,8,0,1,0,0,0,0,1,0,0,0,0,1,3
3,15,7,7,0,1,0,0,0,0,0,0,0,0,0,1,3
3,30,8,6,0,1,0,0,0,0,0,0,0,0,0,1,3
1,0,17,3,0,0,0,0,0,0,0,0,0,1,0,1,2
3,10,6,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,35,7,6,0,1,0,0,0,0,0,0,0,0,0,1,2
3,25,9,8,0,0,0,0,0,1,1,0,0,0,0,1,2
2,5,3,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,5,7,0,0,0,0,0,0,1,1,0,0,0,1,1
2,5,4,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,20,7,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,3,5,0,1,0,0,0,0,1,0,0,0,0,1,3
2,35,8,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,40,9,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,9,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,10,5,6,0,1,0,0,0,0,1,0,0,0,0,1,2
2,35,7,8,0,1,0,0,0,0,0,0,0,0,0,0,3
2,50,10,7,1,1,0,0,1,0,1,1,0,0,0,1,3
2,10,6,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,35,6,6,0,1,0,0,0,0,1,0,0,0,0,1,3
1,5,5,3,0,0,0,1,0,0,0,0,0,0,0,1,2
2,5,11,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,70,11,6,0,1,0,0,1,0,1,0,0,0,0,1,2
3,20,6,8,0,1,0,0,0,0,0,0,0,0,0,1,3
2,30,14,4,0,1,0,0,0,0,0,0,0,0,0,1,2
3,5,5,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,15,8,4,0,1,0,0,0,0,0,0,0,0,0,1,3
1,35,7,3,0,1,0,0,0,0,0,0,0,0,0,1,3
1,10,8,3,0,1,0,0,0,0,0,0,0,0,0,1,2
3,0,5,6,0,1,0,0,0,0,0,0,0,0,0,1,3
3,0,12,6,0,1,0,0,0,0,0,0,1,0,0,1,2
2,0,13,5,0,1,0,0,0,0,1,1,0,0,0,1,2
2,15,8,5,0,1,0,0,0,0,0,0,0,0,0,0,2
2,25,6,6,0,1,0,0,0,0,1,0,0,0,0,1,2
2,10,8,7,0,1,1,0,0,0,0,0,0,0,0,1,2
2,10,21,4,0,1,0,0,0,0,0,0,0,0,0,1,2
3,30,6,8,1,0,0,0,1,0,0,0,0,0,0,1,2
1,50,4,2,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,9,5,0,1,0,0,0,0,1,0,0,0,0,1,2
1,0,37,3,0,0,0,0,0,0,0,0,0,1,0,1,1
2,15,6,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,10,10,6,0,1,1,0,0,0,1,0,0,0,0,1,3
2,20,4,7,0,1,0,0,0,0,0,0,0,0,0,1,2
3,30,7,8,0,1,0,0,0,0,0,0,0,0,0,1,2
5,30,6,10,0,0,0,0,1,0,0,0,0,0,0,1,2
2,0,14,7,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,5,2,0,0,0,0,0,0,1,1,0,0,0,1,2
2,40,6,5,1,1,0,0,1,0,1,0,0,0,0,1,3
2,10,11,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,6,5,0,1,0,0,0,0,1,1,0,0,0,1,2
5,60,3,10,0,0,0,0,1,0,0,0,0,0,0,1,2
2,10,3,5,0,1,1,0,0,0,0,0,0,0,0,1,3
3,15,9,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,6,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,65,9,7,0,1,0,0,0,0,1,1,0,0,0,1,2
2,25,4,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,1,2
1,10,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,8,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,6,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,25,8,4,0,1,1,0,0,0,1,0,0,0,0,1,3
2,5,7,6,0,1,0,0,0,0,1,1,0,0,0,1,2
2,25,11,4,0,1,0,0,0,0,1,0,0,0,0,1,3
3,15,7,6,0,1,0,0,0,0,0,0,0,0,0,1,3
1,10,4,5,0,0,0,0,0,0,1,1,0,0,0,0,2
2,60,11,5,0,1,1,0,1,0,1,1,0,0,0,1,3
2,5,6,5,1,1,0,0,0,0,0,0,0,0,0,1,2
1,60,10,3,1,1,0,0,1,0,1,1,0,0,0,1,2
2,20,11,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,10,14,6,0,0,0,0,0,0,1,1,1,0,0,1,2
1,10,11,3,0,0,0,0,0,1,0,0,0,0,0,1,1
3,30,6,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,7,6,0,1,0,0,0,0,0,0,0,0,0,1,2
3,55,11,10,0,1,0,0,0,0,1,1,0,0,0,1,2
2,20,16,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,4,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,7,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,20,5,5,0,1,0,0,0,0,1,0,0,0,0,0,2
2,0,3,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,20,19,6,0,1,0,0,0,0,1,0,0,0,0,1,2
2,35,6,4,0,1,0,0,0,0,0,0,0,0,0,0,3
2,15,2,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,7,4,0,0,0,0,0,0,0,1,0,0,0,1,2
2,30,11,5,1,0,0,0,0,0,0,0,0,0,0,1,3
2,10,15,6,0,0,0,0,0,1,1,1,0,0,0,1,2
2,15,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2
1,20,5,3,0,1,0,0,0,0,0,0,0,0,0,1,3
2,25,8,4,0,1,0,0,0,0,1,0,0,0,0,1,2
3,45,9,7,0,1,0,1,0,0,0,0,0,0,0,1,2
2,20,21,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,15,6,6,0,1,0,0,0,0,1,1,0,0,0,1,2
1,15,6,2,0,1,0,0,0,0,0,0,0,0,0,1,3
1,5,3,3,0,1,0,0,0,0,0,0,0,0,0,1,3
2,5,8,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,20,6,5,0,1,0,0,0,0,1,0,0,0,0,1,2
3,15,28,7,1,0,0,0,0,0,0,0,0,0,0,1,2
1,50,4,2,0,1,0,0,0,0,1,0,0,0,0,1,3
2,25,17,4,0,1,0,0,0,1,0,0,0,0,0,1,3
2,0,7,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,15,16,8,0,1,0,0,0,0,0,0,0,0,0,2,2
2,25,7,7,0,1,0,0,0,0,0,0,0,0,0,1,2
3,10,6,5,0,1,0,0,0,0,1,0,0,0,0,1,3
3,30,3,6,0,1,0,0,0,0,0,0,0,0,0,1,3
3,30,3,6,1,0,0,0,0,0,0,0,0,0,0,1,3
2,15,5,6,0,1,0,0,0,0,0,0,0,0,0,1,3
3,15,13,7,1,0,0,0,1,0,0,0,0,0,0,1,2
2,25,9,4,0,0,0,0,0,0,1,1,0,0,0,1,2
2,0,3,4,0,0,0,0,0,0,1,0,0,0,0,1,1
2,30,8,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,35,11,6,1,1,0,0,0,0,1,0,0,0,0,1,2
1,10,4,3,0,1,0,0,0,0,1,0,0,0,0,1,3
2,30,4,3,0,0,0,0,0,0,1,0,0,0,0,1,1
2,45,9,5,0,1,0,0,0,0,0,0,0,0,0,1,1
3,10,6,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,15,9,8,0,1,0,0,0,0,0,0,0,0,0,1,3
2,15,12,6,0,1,0,0,0,0,0,0,0,0,0,1,3
3,20,2,32,0,1,0,0,0,0,0,0,0,0,0,1,3
2,10,8,6,0,1,0,0,0,0,0,0,0,0,0,1,3
1,15,7,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,11,5,0,0,0,0,0,1,0,0,0,0,0,1,1
2,20,7,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,6,6,0,0,0,0,0,0,1,0,0,0,0,1,1
3,60,5,8,1,0,0,0,0,0,0,0,0,0,0,1,3
2,0,7,6,0,0,0,0,0,0,1,0,0,0,0,0,1
2,25,7,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,15,8,0,1,0,0,0,0,1,1,0,0,0,1,3
2,10,3,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,5,38,5,0,1,0,0,0,0,1,1,0,0,0,1,2
2,10,8,5,0,1,1,0,0,0,1,1,0,0,0,1,2
3,30,9,7,0,1,0,0,0,0,0,0,0,0,0,0,2
3,40,9,7,1,0,0,0,1,0,0,0,0,0,0,0,3
1,15,4,3,0,0,0,0,0,0,1,0,0,0,0,1,2
3,20,3,7,0,1,0,0,0,0,0,0,0,0,0,1,3
3,30,14,8,0,0,0,0,1,1,1,0,0,0,0,1,2
2,20,5,5,0,1,0,0,0,0,1,1,0,0,0,1,2
3,30,5,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,25,4,5,0,1,1,0,0,0,1,0,1,0,0,1,2
2,10,8,5,0,1,0,0,0,0,1,0,0,0,0,1,2
1,10,6,5,0,1,0,0,0,0,0,0,0,0,0,1,2
4,10,7,12,0,0,0,0,0,1,0,0,0,0,0,1,2
2,30,5,7,0,0,0,0,1,0,1,0,0,0,0,1,3
2,5,4,7,0,1,0,0,0,0,0,0,0,0,0,0,2
1,10,6,3,0,0,0,0,0,0,1,1,0,0,0,1,1
5,100,12,11,0,0,0,0,1,0,0,0,0,0,0,1,2
2,25,11,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,10,4,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,30,4,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,15,4,4,0,1,0,0,1,0,0,0,0,0,0,1,2
2,15,4,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,8,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,8,6,1,1,0,0,0,0,0,0,0,0,0,1,3
2,5,9,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,15,8,7,0,0,0,1,0,0,0,0,1,0,0,1,2
2,10,5,6,0,1,0,0,0,0,0,1,0,0,0,1,2
2,75,6,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,30,56,6,0,0,0,0,0,1,0,0,0,0,0,3,2
2,0,1,5,0,1,0,0,0,0,1,0,0,0,0,1,2
3,20,8,10,0,1,0,0,0,0,0,0,0,0,0,1,2
1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,13,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,60,9,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,11,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,20,4,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,5,8,5,0,1,0,0,0,0,0,0,0,0,0,0,2
2,10,13,5,0,0,0,0,0,0,1,0,0,0,0,1,1
2,15,2,6,0,1,0,0,0,0,0,0,0,0,0,1,2
3,85,7,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,5,4,4,0,0,0,0,0,0,1,1,0,0,0,1,2
2,35,4,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,6,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,20,4,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,30,4,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,20,7,0,0,0,0,0,1,0,0,0,1,0,1,1
3,15,7,6,1,0,0,0,0,0,0,0,0,0,0,2,2
2,20,3,7,0,1,0,0,0,0,0,0,0,0,0,1,2
3,60,10,7,1,0,0,0,1,0,1,1,0,0,0,1,3
1,5,4,3,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,9,5,0,1,0,0,0,0,0,0,0,0,0,1,3
3,20,6,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,65,5,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,15,8,7,1,1,1,0,0,0,0,0,0,0,0,1,3
1,25,8,3,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,9,4,0,1,0,0,0,0,0,0,0,0,0,1,3
3,15,6,8,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,6,7,0,1,0,0,0,0,0,0,0,0,0,1,2
1,10,10,3,0,0,0,0,0,1,0,0,0,0,0,1,2
3,5,16,9,0,0,0,0,0,0,0,0,1,0,0,1,1
2,20,6,6,0,1,0,0,0,0,0,0,0,0,0,1,2
4,35,24,8,0,0,0,0,1,0,0,0,0,0,0,1,3
2,10,4,5,0,1,0,0,0,0,0,0,0,0,0,1,3
1,50,5,3,0,1,0,0,0,0,0,0,0,0,0,1,3
1,10,5,4,0,0,0,0,0,0,1,1,0,0,0,1,2
2,15,5,5,1,0,0,0,1,0,1,0,0,0,0,1,2
2,25,7,5,1,0,0,0,0,0,0,0,0,0,0,1,2
2,25,6,8,0,1,0,0,0,0,1,0,0,0,0,1,3
1,15,11,3,0,0,0,0,0,1,0,0,0,0,0,2,1
2,15,3,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,25,7,8,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,16,5,0,0,0,0,1,1,0,0,0,0,0,1,2
1,30,34,3,0,0,0,0,1,0,0,0,0,0,0,1,2
3,10,11,10,0,0,0,0,0,1,0,0,0,0,0,0,2
3,20,11,6,0,1,0,0,0,0,0,0,0,0,0,3,3
1,0,4,3,0,0,0,0,0,1,1,0,0,0,0,1,1
2,15,13,6,0,0,0,1,0,0,0,0,0,0,0,0,2
2,5,8,8,0,0,0,0,0,0,1,0,0,0,0,1,1
2,0,9,5,0,1,0,0,0,0,0,0,0,0,0,1,2
1,5,8,3,1,0,0,0,1,0,1,0,0,0,0,1,3
2,80,9,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,40,10,5,1,1,0,0,0,0,0,0,0,0,0,2,2
3,40,7,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,35,9,4,0,1,0,0,0,0,0,0,1,0,0,1,1
2,5,7,5,0,0,0,0,1,0,0,0,0,0,0,1,3
1,10,8,2,0,1,0,0,0,0,0,0,0,0,0,0,2
3,30,6,9,1,0,0,0,1,0,0,0,0,0,0,1,3
2,5,5,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,25,6,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,4,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,25,8,4,0,1,0,0,0,0,1,1,0,0,0,1,2
2,0,6,5,0,1,0,0,1,0,0,0,0,0,0,1,3
1,10,9,2,0,1,0,0,0,0,1,0,0,0,0,1,2
2,15,5,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,11,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,5,5,1,1,0,0,1,0,1,0,0,0,0,1,3
2,0,5,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,5,4,0,1,0,0,0,0,1,0,0,0,0,1,3
2,15,9,8,0,1,0,0,0,0,0,0,0,0,0,1,3
3,30,5,7,0,1,0,0,0,0,1,1,0,0,0,1,3
1,20,5,3,1,0,0,0,0,0,1,0,0,0,0,1,3
2,40,12,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,40,2,6,0,1,0,0,0,0,1,0,0,0,0,1,3
1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1
2,15,6,5,0,1,0,0,0,0,0,0,0,0,0,1,3
1,25,6,3,0,1,0,0,0,0,1,1,0,0,0,1,2
1,5,12,3,0,0,0,0,0,1,0,0,0,0,0,1,2
1,15,9,3,0,0,0,0,0,1,0,0,0,0,0,1,1
3,0,10,10,0,0,0,0,0,0,0,0,0,1,0,1,1
2,25,5,4,0,1,0,0,0,0,0,0,0,0,0,1,2
4,5,20,13,0,0,0,0,0,1,0,0,0,1,0,1,1
3,30,8,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,15,6,0,0,0,1,0,1,0,0,0,0,0,1,1
2,25,12,7,0,1,0,0,1,0,0,0,0,0,0,1,2
3,0,16,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,7,5,0,1,0,0,0,0,0,0,0,0,0,2,2
2,15,9,7,0,1,0,0,0,0,1,0,0,0,0,1,2
2,5,6,7,0,1,0,0,0,0,1,0,0,0,0,1,2
2,20,8,4,0,1,0,0,0,0,0,0,0,0,0,1,2
3,190,6,7,0,1,0,0,0,0,0,0,0,0,0,1,3
3,10,8,8,0,1,0,0,0,0,0,0,0,0,0,1,2
2,25,7,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,4,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,8,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1
2,10,9,5,0,0,0,0,0,0,1,0,0,0,0,1,1
2,0,4,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,20,10,5,0,1,0,0,0,0,1,0,0,0,0,0,2
2,10,6,3,0,0,0,0,0,0,1,0,0,0,0,1,2
2,5,5,6,0,1,0,0,0,0,0,0,0,0,0,1,2
1,5,4,2,0,1,0,0,0,0,0,0,0,0,0,1,3
3,30,7,7,1,1,0,0,0,0,0,0,0,0,0,1,2
3,20,7,7,1,0,0,0,0,0,0,0,0,0,0,2,3
1,0,12,3,0,0,0,0,0,1,0,0,0,0,0,1,1
2,40,14,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,10,5,4,0,1,0,0,0,0,1,0,0,0,0,1,1
1,10,10,3,0,0,0,0,1,0,0,0,0,0,0,1,2
1,0,6,3,0,0,0,0,0,1,0,0,0,0,0,1,2
2,15,16,7,0,0,0,0,0,0,0,0,1,0,0,1,2
2,15,7,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,4,3,0,1,0,0,0,0,1,0,0,0,0,1,1
1,10,5,3,0,0,0,0,1,0,0,0,0,0,0,1,2
2,30,26,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,15,7,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,5,6,5,0,1,0,0,0,0,0,0,0,0,0,1,3
3,15,8,9,0,1,0,0,0,0,0,0,0,0,0,1,3
3,25,11,6,0,1,0,0,0,0,0,0,0,0,0,1,3
3,5,8,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,5,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,7,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,5,15,8,0,1,0,0,0,0,0,0,0,0,0,1,3
3,45,6,6,1,0,0,0,0,0,0,0,0,0,0,2,3
2,15,5,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,25,7,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,6,8,0,1,1,0,0,0,1,1,0,0,0,2,2
2,50,12,4,0,1,0,0,0,0,1,0,0,0,0,1,2
2,10,4,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,45,6,4,0,1,0,0,0,0,1,0,0,0,0,1,2
2,25,4,4,0,1,0,0,0,0,1,0,0,0,0,1,2
2,20,11,8,0,1,0,0,0,0,0,0,0,0,0,1,3
2,15,20,7,0,0,0,0,0,0,0,0,0,1,0,1,2
2,20,6,6,0,1,0,0,0,0,1,1,0,0,0,1,2
3,25,18,8,1,1,0,0,0,0,0,0,0,0,0,1,2
1,0,12,4,0,0,0,0,0,1,0,0,0,0,0,1,1
2,20,5,5,1,1,0,0,0,0,0,0,0,0,0,1,2
2,35,3,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,50,8,6,1,1,0,0,0,0,1,0,0,0,0,1,2
3,30,10,8,0,1,0,0,0,0,0,0,0,0,0,1,3
3,15,10,9,0,1,0,0,0,0,0,0,0,0,0,1,3
2,25,6,4,0,1,0,0,0,0,0,0,0,0,0,1,3
1,25,7,2,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,5,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,9,4,0,1,1,0,0,0,0,0,0,0,0,1,2
3,10,8,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,35,11,5,1,0,0,0,0,0,0,0,0,0,0,1,3
3,995,12,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,5,6,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,10,6,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,25,5,7,0,0,0,0,0,0,1,0,0,0,0,1,2
2,20,6,4,0,1,0,0,0,0,0,0,0,0,0,1,1
3,35,6,7,0,1,0,0,0,0,0,0,0,0,0,1,2
3,15,12,10,0,0,0,1,0,1,1,0,1,0,0,0,2
2,40,7,4,1,1,1,0,0,0,1,1,0,0,0,1,2
3,20,6,6,0,1,0,0,0,0,0,0,0,0,0,1,3
1,10,8,3,0,0,0,0,0,0,0,0,1,0,0,1,1
2,10,9,6,0,1,0,0,0,0,0,0,0,0,0,1,2
1,0,6,5,0,0,1,0,0,0,1,0,0,0,0,1,3
2,25,5,4,0,1,0,0,0,0,0,0,0,0,0,0,3
3,15,8,7,0,1,0,0,0,0,0,0,0,0,0,1,2
1,10,31,4,0,0,0,0,0,0,0,0,1,0,0,1,2
2,15,14,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,7,7,0,1,0,0,0,0,0,0,0,0,0,1,2
3,30,9,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,5,14,6,0,1,0,0,0,0,0,0,0,0,0,1,3
2,30,7,5,1,0,0,0,0,0,1,0,0,0,0,1,2
2,15,8,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,25,6,4,0,1,0,0,1,0,0,0,0,0,0,1,2
3,40,6,7,0,1,0,0,0,0,0,0,0,0,0,1,3
1,0,19,3,0,0,0,0,0,0,0,0,1,0,0,1,1
2,5,8,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,3,5,0,1,0,0,0,0,0,0,0,0,0,1,2
1,0,15,3,0,1,0,0,0,0,0,0,0,0,0,1,3
4,105,11,9,0,0,0,0,0,1,1,0,0,0,0,1,2
3,15,9,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,9,6,0,1,0,0,0,0,0,0,0,0,0,1,2
